"id","parent_id"
2229,NULL
2231,2229
2234,2231
2235,2231
2236,2231
2237,2231
2238,2231
2239,2231
2240,2229
2241,2240
2242,2240
2243,2240
2244,2240
2245,2229
2246,2245
2247,2245
2248,2245
2249,2245
2250,2245
2251,2245
2252,2229
2253,2252
2254,2253
2255,2253
2256,2253
2257,2253
2258,2257
2259,2257
2260,2252
2261,2260
2262,2260
2263,2260
2264,2260
2265,2264
2266,2264
2267,2252
2268,2267
2269,2267
2270,2267
2271,2267
2272,2271
2273,2271
2274,2252
2275,2274
2276,2274
2277,2274
2278,2274
2279,2278
2280,2278
2281,2252
2282,2252
2283,2252
2284,2252
2285,2284
2286,2284
2287,2284
2288,2284
2289,2288
2290,2288
2291,2252
2292,2252
2293,2292
2294,2292
2295,2292
2296,2292
2297,2252
2298,2229
2299,2229
2300,2229
2301,2300
2302,2300
2303,2300
2304,2300
2305,2300
2306,2300
2307,2300
2308,2300
2309,2229
2310,2309
2311,2309
2312,2309
2313,2309
2314,2229
2315,2314
2316,2314
2317,2314
2318,2314
2319,2229
2320,2319
2321,2319
2322,2319
2323,2319
2324,2229
3823,2229
