"sfg_question","nfg_question"
24,716
25,717
26,718
27,719
28,720
29,721
30,722
31,723
32,724
33,725
34,726
35,727
36,728
37,729
38,730
39,731
40,732
41,733
42,734
43,735
44,736
45,737
46,738
47,739
48,740
49,741
50,742
51,743
52,744
53,745
54,746
55,747
56,748
57,749
58,750
59,751
60,752
61,753
62,754
63,755
88,2154
89,2155
90,2156
91,2157
92,2158
93,
94,2160
95,2161
96,2162
97,2163
98,2164
99,2165
100,2166
122,2187
123,2188
124,2189
125,2190
126,2191
127,2192
128,2193
129,2194
130,2195
131,2196
152,2216
153,2217
154,2218
155,2219
156,2220
157,2221
158,2222
159,2223
160,2224
161,2225
